Polarity (XLogP3),Viscosity (cP),Boiling Point (K),Surface Tension (mN/m),concentration_g_l,uncoated_nm,total_nm,bonded_nm,source_row,negative_mobile,negative_concentration,negative_thickness
3.9,0.377,342.039,17.89,-0.212424297,1.468042572,0.291045898,0.478462778,641,True,True,False
3.9,0.377,342.039,17.89,-0.350522167,1.482228259,0.110705115,0.475050501,643,True,True,False
3.9,0.377,342.039,17.89,-0.122446358,1.497937715,0.377078669,0.467197769,644,True,True,False
3.9,0.377,342.039,17.89,-0.377584668,1.502739343,0.068216296,0.464719927,647,True,True,False
3.9,0.377,342.039,17.89,-0.059565718,1.637534211,0.551319414,0.321843123,652,False,True,False
3.9,0.377,342.039,17.89,-0.1378461,1.635413915,0.490829067,0.334853126,665,False,True,False
3.9,0.377,342.039,17.89,-0.023301778,1.621480302,0.628495933,0.409217764,679,False,True,False
3.9,0.377,342.039,17.89,-0.122284395,1.441094283,0.559934046,0.676473206,683,True,True,False
3.9,0.377,342.039,17.89,-0.003248468,1.436635745,0.712655051,0.673568506,694,False,True,False
3.9,0.377,342.039,17.89,-0.196425238,1.508619582,0.305729552,0.444715403,695,True,True,False
3.9,0.377,342.039,17.89,-0.215472912,1.636599163,0.368968504,0.324213009,704,False,True,False
3.9,0.377,342.039,17.89,-0.020619085,1.432638943,0.724676031,0.687077696,717,False,True,False
3.9,0.377,342.039,17.89,-0.240684292,1.636716552,0.329329199,0.330848773,720,True,True,False
3.9,0.377,342.039,17.89,-0.2251142,1.437082117,0.480407419,0.546240189,734,True,True,False
3.9,0.377,342.039,17.89,-0.240496654,1.626932299,0.321017948,0.334502987,740,True,True,False
3.9,0.377,342.039,17.89,-0.279440727,1.454365759,0.338245354,0.662383397,742,True,True,False
3.9,0.377,342.039,17.89,-0.191639433,1.454787681,0.370932299,0.459096471,747,True,True,False
3.9,0.377,342.039,17.89,-0.045895617,1.612192984,0.621010546,0.382477419,751,False,True,False
3.9,0.377,342.039,17.89,-0.094306691,1.487500259,0.440695175,0.479786299,752,True,True,False
3.9,0.377,342.039,17.89,-0.197919705,1.49216006,0.298830857,0.483713099,762,True,True,False
3.9,0.377,342.039,17.89,-0.028267424,1.44830837,0.664622017,0.664289932,772,False,True,False
3.9,0.377,342.039,17.89,-0.174032774,1.448946441,0.558566326,0.612452602,774,True,True,False
3.9,0.377,342.039,17.89,-0.1020679,1.445454113,0.491735059,0.479503148,775,False,True,False
3.9,0.377,342.039,17.89,-0.089167763,1.490809455,0.435289623,0.471574106,779,True,True,False
3.9,0.377,342.039,17.89,-0.34172453,1.453645559,0.301799178,0.660505124,780,True,True,False
3.9,0.377,342.039,17.89,-0.208550759,1.456590299,0.339334763,0.490898665,783,True,True,False
3.9,0.377,342.039,17.89,-0.579153877,1.622842316,-0.085204813,0.330368721,785,True,True,True
3.9,0.377,342.039,17.89,-0.136334622,1.459599821,0.446078549,0.464570596,788,True,True,False
3.9,0.377,342.039,17.89,-0.177486929,1.619161105,0.405391328,0.334580671,792,False,True,False
3.9,0.377,342.039,17.89,-0.62432127,1.440190209,-0.061665879,0.670416027,802,True,True,True
3.9,0.377,342.039,17.89,-0.135887261,1.435072054,0.573477333,0.535667497,806,False,True,False
3.9,0.377,342.039,17.89,-0.201935231,1.613698527,0.39447007,0.36171901,807,False,True,False
3.9,0.377,342.039,17.89,-0.157456553,1.446259649,0.377566776,0.477482078,814,True,True,False
3.9,0.377,342.039,17.89,-0.07202353,1.630815335,0.544373349,0.336834236,815,False,True,False
3.9,0.377,342.039,17.89,-0.058222331,1.506569634,0.494980819,0.463372602,816,False,True,False
3.9,0.377,342.039,17.89,-0.280798304,1.463135191,0.451845477,0.600594335,819,True,True,False
3.9,0.377,342.039,17.89,-0.310276435,1.447510897,0.36369917,0.678608954,825,True,True,False
3.9,0.377,342.039,17.89,-0.064799,1.440048436,0.673068063,0.683153699,827,True,True,False
3.9,0.377,342.039,17.89,-0.370525889,1.626734626,0.158017096,0.33292617,828,True,True,False
3.9,0.377,342.039,17.89,-0.029037039,1.611278928,0.571601811,0.357636855,832,False,True,False
3.9,0.377,342.039,17.89,-0.139236964,1.448014387,0.553644289,0.632393215,835,True,True,False
3.9,0.377,342.039,17.89,-0.18008319,1.483389718,0.321667146,0.481274158,842,True,True,False
3.9,0.377,342.039,17.89,-0.090897225,1.486353521,0.442974461,0.436880282,860,False,True,False
3.9,0.377,342.039,17.89,-0.469866759,1.487156793,-0.020605512,0.460367358,867,True,True,True
3.9,0.377,342.039,17.89,-0.157079555,1.620965558,0.477676306,0.377072117,876,False,True,False
3.9,0.377,342.039,17.89,-0.091565803,1.430986491,0.658509644,0.544012694,882,False,True,False
3.9,0.377,342.039,17.89,-0.038956064,1.442498229,0.7178916,0.629446097,885,False,True,False
3.9,0.377,342.039,17.89,-0.162274245,1.451311996,0.535352604,0.601717552,890,True,True,False
3.9,0.377,342.039,17.89,-0.112440897,1.628591222,0.517143942,0.336969644,894,False,True,False
3.9,0.377,342.039,17.89,-0.276503788,1.437213111,0.407544178,0.524373436,896,True,True,False
3.9,0.377,342.039,17.89,-0.186535055,1.482518739,0.341256147,0.495708261,901,True,True,False
3.9,0.377,342.039,17.89,-0.144141015,1.428443454,0.533065049,0.690744118,908,True,True,False
3.9,0.377,342.039,17.89,-0.116527691,1.447834292,0.414627888,0.474168761,924,True,True,False
3.9,0.377,342.039,17.89,-0.500203989,1.649053788,0.068677668,0.356296244,927,True,True,False
3.9,0.377,342.039,17.89,-0.429726755,1.63633401,0.158729527,0.371076148,929,True,True,False
3.9,0.377,342.039,17.89,-0.232299267,1.443740764,0.372225615,0.673240465,944,True,True,False
3.9,0.377,342.039,17.89,-0.06086833,1.501162413,0.506022953,0.474699774,949,False,True,False
3.9,0.377,342.039,17.89,-0.099253803,1.443079273,0.65947508,0.547415234,951,False,True,False
3.9,0.377,342.039,17.89,-0.100259741,1.48982914,0.406341904,0.472311439,952,True,True,False
3.9,0.377,342.039,17.89,-0.075514121,1.452227718,0.600362177,0.658449456,954,True,True,False
3.9,0.377,342.039,17.89,-0.141213445,1.438790609,0.577213232,0.546830036,958,False,True,False
3.9,0.377,342.039,17.89,-0.112205504,1.465069312,0.593498194,0.567602166,960,False,True,False
3.9,0.377,342.039,17.89,-0.116310349,1.475975412,0.521935679,0.496599162,961,False,True,False
3.9,0.377,342.039,17.89,-0.153485263,1.630696419,0.461311327,0.339661124,964,False,True,False
3.9,0.377,342.039,17.89,-0.0792454,1.487834443,0.484073578,0.442521511,972,False,True,False
3.9,0.377,342.039,17.89,-0.046875161,1.471489999,0.501695629,0.476890563,985,False,True,False
3.9,0.377,342.039,17.89,-0.156381359,1.445054891,0.549765431,0.670038489,988,True,True,False
3.9,0.377,342.039,17.89,-0.095272209,1.483069407,0.445231355,0.457531122,989,True,True,False
3.9,0.377,342.039,17.89,-0.082562188,1.459658635,0.671112541,0.621683563,994,False,True,False
3.9,0.377,342.039,17.89,-0.261832958,1.625942888,0.328541965,0.349895775,996,True,True,False
3.9,0.377,342.039,17.89,-0.046622046,1.474809482,0.546491706,0.457321365,999,False,True,False
2.7,0.68,350.372,29.46,40.0630415,1.456888265,0.852600594,0.859209671,2005,True,False,False
2.7,0.68,350.372,29.46,39.92210569,1.439550926,0.84205548,0.856051145,2168,True,False,False
2.7,0.68,350.372,29.46,40.35808318,1.456138769,0.846106389,0.857237602,2409,True,False,False
2.7,0.68,350.372,29.46,40.77256268,1.449429964,0.841939332,0.855022504,2447,True,False,False
2.7,0.68,350.372,29.46,40.08848387,1.445107194,0.850526438,0.856497872,2557,True,False,False
2.7,0.68,350.372,29.46,40.78972688,1.440568432,0.845105313,0.86,2654,True,False,False
2.7,0.68,350.372,29.46,40.61581694,1.461801826,0.853114117,0.86,2897,True,False,False
2.7,0.68,350.372,29.46,40.29501389,1.46214646,0.846984238,0.86,2898,True,False,False
2.7,0.68,350.372,29.46,41.74226717,1.43985041,0.85464459,0.86,2948,True,False,False
2.7,0.68,350.372,29.46,38.69381175,1.463057612,0.842767156,0.855280864,2976,True,False,False
