concentration_g_l,uncoated_nm,total_nm,bonded_nm,source_path,source_row,record_id,solvent,record_type,concentration_g_ml,mobile_nm,group_id,polarity,viscosity_cp,boiling_point_k,surface_tension_mn_m,physical_valid,primary_eligible,exclusion_reason,parent_record_id
0.05,1.61,0.5948247366375874,0.3409440455613514,models/feature engineering v1/data FE-V1/toluene+pdms.csv,33,synthetic:42:10,toluene,synthetic_audit_only,5e-05,0.253880691076236,toluene:0.05,2.7,0.68,383.75,29.46,True,True,,toluene:33
5.0,1.5,2.188683163179989,0.9318834514818076,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,30,synthetic:42:11,ethyl_acetate,synthetic_audit_only,0.005,1.256799711698181,ethyl_acetate:5,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:30
0.25,1.47,1.0908650156026343,0.3806798407966959,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,10,synthetic:42:12,ethyl_acetate,synthetic_audit_only,0.00025,0.7101851748059385,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:10
0.25,1.33,0.8739000076473107,0.3949052475367371,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,17,synthetic:42:13,ethyl_acetate,synthetic_audit_only,0.00025,0.47899476011057357,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:17
0.25,1.47,1.0990982089869703,0.3888161621760779,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,9,synthetic:42:14,ethyl_acetate,synthetic_audit_only,0.00025,0.7102820468108924,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:9
0.25,1.32,0.9367491708355515,0.4505249059928101,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,19,synthetic:42:15,ethyl_acetate,synthetic_audit_only,0.00025,0.48622426484274145,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:19
0.05,1.61,0.6374588613162648,0.35411441877784766,models/feature engineering v1/data FE-V1/toluene+pdms.csv,32,synthetic:42:16,toluene,synthetic_audit_only,5e-05,0.2833444425384171,toluene:0.05,2.7,0.68,383.75,29.46,True,True,,toluene:32
0.09,1.44,0.8374189461441002,0.5250649237975838,models/feature engineering v1/data FE-V1/agg.data.xlsx,21,synthetic:42:17,hexane,synthetic_audit_only,8.999999999999999e-05,0.31235402234651627,hexane:0.09,3.9,0.377,342.039,17.89,True,True,,hexane:21
1.0,1.32,1.2485008453300157,0.6382867334228332,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,22,synthetic:42:18,ethyl_acetate,synthetic_audit_only,0.001,0.6102141119071824,ethyl_acetate:1,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:22
0.005,1.57,0.5470204522238322,0.4479906112739525,models/feature engineering v1/data FE-V1/toluene+pdms.csv,22,synthetic:42:19,toluene,synthetic_audit_only,5e-06,0.09902984094987974,toluene:0.005,2.7,0.68,383.75,29.46,True,True,,toluene:22
0.025,1.6,0.565915390898686,0.3864740961745406,models/feature engineering v1/data FE-V1/toluene+pdms.csv,31,synthetic:42:20,toluene,synthetic_audit_only,2.5e-05,0.17944129472414538,toluene:0.025,2.7,0.68,383.75,29.46,True,True,,toluene:31
7.0,1.51,9.350504006925041,0.49835863683016013,models/feature engineering v1/data FE-V1/agg.data.xlsx,56,synthetic:42:21,hexane,synthetic_audit_only,0.007,8.852145370094881,hexane:7,3.9,0.377,342.039,17.89,True,True,,hexane:56
0.15,1.64,0.876427912223424,0.347969435424976,models/feature engineering v1/data FE-V1/agg.data.xlsx,30,synthetic:42:22,hexane,synthetic_audit_only,0.00015,0.528458476798448,hexane:0.15,3.9,0.377,342.039,17.89,True,True,,hexane:30
3.0,1.5,1.9381784871190817,0.7148937606264555,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,27,synthetic:42:23,ethyl_acetate,synthetic_audit_only,0.003,1.223284726492626,ethyl_acetate:3,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:27
0.25,1.32,0.9905661086989345,0.45885466259219365,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,19,synthetic:42:24,ethyl_acetate,synthetic_audit_only,0.00025,0.5317114461067408,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:19
40.0,1.46,0.8161104313590867,0.6951446114921829,models/feature engineering v1/data FE-V1/toluene+pdms.csv,46,synthetic:42:25,toluene,synthetic_audit_only,0.04,0.12096581986690379,toluene:40,2.7,0.68,383.75,29.46,True,True,,toluene:46
7.0,1.53,10.005828857626906,0.4872035158738518,models/feature engineering v1/data FE-V1/agg.data.xlsx,58,synthetic:42:26,hexane,synthetic_audit_only,0.007,9.518625341753054,hexane:7,3.9,0.377,342.039,17.89,True,True,,hexane:58
1.0,1.31,1.3124675936314443,0.6447402820649157,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,21,synthetic:42:27,ethyl_acetate,synthetic_audit_only,0.001,0.6677273115665284,ethyl_acetate:1,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:21
0.05,1.6,0.6940008520066039,0.36747312268624677,models/feature engineering v1/data FE-V1/toluene+pdms.csv,34,synthetic:42:28,toluene,synthetic_audit_only,5e-05,0.3265277293203571,toluene:0.05,2.7,0.68,383.75,29.46,True,True,,toluene:34
0.005,1.57,0.527878898314485,0.4429798605906055,models/feature engineering v1/data FE-V1/toluene+pdms.csv,22,synthetic:42:29,toluene,synthetic_audit_only,5e-06,0.08489903772387948,toluene:0.005,2.7,0.68,383.75,29.46,True,True,,toluene:22
0.005,1.57,0.5267673422356823,0.4368512772912918,models/feature engineering v1/data FE-V1/toluene+pdms.csv,22,synthetic:42:30,toluene,synthetic_audit_only,5e-06,0.08991606494439051,toluene:0.005,2.7,0.68,383.75,29.46,True,True,,toluene:22
1.0,1.48,2.2126730599034836,0.5977447622633543,models/feature engineering v1/data FE-V1/agg.data.xlsx,39,synthetic:42:31,hexane,synthetic_audit_only,0.001,1.6149282976401296,hexane:1,3.9,0.377,342.039,17.89,True,True,,hexane:39
0.02,1.49,0.5919843123063736,0.5010885248530813,models/feature engineering v1/data FE-V1/agg.data.xlsx,7,synthetic:42:32,hexane,synthetic_audit_only,2e-05,0.09089578745329228,hexane:0.02,3.9,0.377,342.039,17.89,True,True,,hexane:7
0.05,1.6,0.6759347342933638,0.34332061311114714,models/feature engineering v1/data FE-V1/toluene+pdms.csv,34,synthetic:42:33,toluene,synthetic_audit_only,5e-05,0.33261412118221667,toluene:0.05,2.7,0.68,383.75,29.46,True,True,,toluene:34
2.0,1.5,1.7291191944368478,0.6555544399882633,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,25,synthetic:42:34,ethyl_acetate,synthetic_audit_only,0.002,1.0735647544485845,ethyl_acetate:2,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:25
0.02,1.49,0.5992013261979411,0.5066652552132102,models/feature engineering v1/data FE-V1/agg.data.xlsx,5,synthetic:42:35,hexane,synthetic_audit_only,2e-05,0.09253607098473096,hexane:0.02,3.9,0.377,342.039,17.89,True,True,,hexane:5
2.0,1.48,1.6900311498127993,0.704071152198245,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,23,synthetic:42:36,ethyl_acetate,synthetic_audit_only,0.002,0.9859599976145542,ethyl_acetate:2,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:23
1.0,1.31,1.363605448469494,0.6902169551711451,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,21,synthetic:42:37,ethyl_acetate,synthetic_audit_only,0.001,0.6733884932983488,ethyl_acetate:1,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:21
2.5,1.42,3.513884410079197,0.574527568274238,models/feature engineering v1/data FE-V1/agg.data.xlsx,48,synthetic:42:38,hexane,synthetic_audit_only,0.0025,2.9393568418049587,hexane:2.5,3.9,0.377,342.039,17.89,True,True,,hexane:48
40.0,1.46,0.8176407380983405,0.695184122272852,models/feature engineering v1/data FE-V1/toluene+pdms.csv,46,synthetic:42:39,toluene,synthetic_audit_only,0.04,0.12245661582548849,toluene:40,2.7,0.68,383.75,29.46,True,True,,toluene:46
0.15,1.62,0.8329906900503574,0.3544308603787968,models/feature engineering v1/data FE-V1/agg.data.xlsx,29,synthetic:42:40,hexane,synthetic_audit_only,0.00015,0.4785598296715607,hexane:0.15,3.9,0.377,342.039,17.89,True,True,,hexane:29
0.25,1.33,0.9609977222476258,0.44472386270558123,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,17,synthetic:42:41,ethyl_acetate,synthetic_audit_only,0.00025,0.5162738595420445,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:17
0.25,1.47,1.1511122362375885,0.39191199713762453,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,8,synthetic:42:42,ethyl_acetate,synthetic_audit_only,0.00025,0.7592002390999639,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:8
5.0,1.44,6.647743631642329,0.5444043806874204,models/feature engineering v1/data FE-V1/agg.data.xlsx,55,synthetic:42:43,hexane,synthetic_audit_only,0.005,6.1033392509549085,hexane:5,3.9,0.377,342.039,17.89,True,True,,hexane:55
0.02,1.48,0.5688062063726245,0.46050482281962446,models/feature engineering v1/data FE-V1/agg.data.xlsx,6,synthetic:42:44,hexane,synthetic_audit_only,2e-05,0.10830138355299995,hexane:0.02,3.9,0.377,342.039,17.89,True,True,,hexane:6
5.0,1.5,2.3510363927489966,1.0637196599989838,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,30,synthetic:42:45,ethyl_acetate,synthetic_audit_only,0.005,1.2873167327500126,ethyl_acetate:5,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:30
0.005,1.57,0.5042976500059521,0.41578672263118194,models/feature engineering v1/data FE-V1/toluene+pdms.csv,22,synthetic:42:46,toluene,synthetic_audit_only,5e-06,0.08851092737477011,toluene:0.005,2.7,0.68,383.75,29.46,True,True,,toluene:22
2.0,1.5,1.7597270576298476,0.6398868484571769,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,25,synthetic:42:47,ethyl_acetate,synthetic_audit_only,0.002,1.1198402091726707,ethyl_acetate:2,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:25
0.15,1.43,0.9224299624247884,0.33004774820638794,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,6,synthetic:42:48,ethyl_acetate,synthetic_audit_only,0.00015,0.5923822142184004,ethyl_acetate:0.15,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:6
0.25,1.31,0.9908242841553105,0.38190293634462397,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,18,synthetic:42:49,ethyl_acetate,synthetic_audit_only,0.00025,0.6089213478106866,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:18
0.25,1.33,0.8614441347552672,0.40938296650389244,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,17,synthetic:42:50,ethyl_acetate,synthetic_audit_only,0.00025,0.4520611682513747,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:17
0.15,1.62,0.8213068257391225,0.3764363996711314,models/feature engineering v1/data FE-V1/agg.data.xlsx,31,synthetic:42:51,hexane,synthetic_audit_only,0.00015,0.44487042606799104,hexane:0.15,3.9,0.377,342.039,17.89,True,True,,hexane:31
7.0,1.51,10.4517579856617,0.5078757473661634,models/feature engineering v1/data FE-V1/agg.data.xlsx,56,synthetic:42:52,hexane,synthetic_audit_only,0.007,9.943882238295537,hexane:7,3.9,0.377,342.039,17.89,True,True,,hexane:56
0.025,1.61,0.605916516169462,0.417911978328834,models/feature engineering v1/data FE-V1/toluene+pdms.csv,29,synthetic:42:53,toluene,synthetic_audit_only,2.5e-05,0.18800453784062796,toluene:0.025,2.7,0.68,383.75,29.46,True,True,,toluene:29
0.025,1.6,0.555069253322702,0.39128100490132894,models/feature engineering v1/data FE-V1/toluene+pdms.csv,31,synthetic:42:54,toluene,synthetic_audit_only,2.5e-05,0.16378824842137296,toluene:0.025,2.7,0.68,383.75,29.46,True,True,,toluene:31
0.02,1.44,0.7373820466057741,0.6910586188285308,models/feature engineering v1/data FE-V1/agg.data.xlsx,4,synthetic:42:55,hexane,synthetic_audit_only,2e-05,0.0463234277772433,hexane:0.02,3.9,0.377,342.039,17.89,True,True,,hexane:4
0.05,1.6,0.573449782237025,0.3064905774712408,models/feature engineering v1/data FE-V1/toluene+pdms.csv,34,synthetic:42:56,toluene,synthetic_audit_only,5e-05,0.2669592047657842,toluene:0.05,2.7,0.68,383.75,29.46,True,True,,toluene:34
0.15,1.62,0.8645896324663643,0.3786019285360308,models/feature engineering v1/data FE-V1/agg.data.xlsx,29,synthetic:42:57,hexane,synthetic_audit_only,0.00015,0.4859877039303335,hexane:0.15,3.9,0.377,342.039,17.89,True,True,,hexane:29
0.25,1.47,1.1720737933420171,0.38300691107241414,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,10,synthetic:42:58,ethyl_acetate,synthetic_audit_only,0.00025,0.7890668822696031,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:10
0.15,1.44,1.0160091708426502,0.2913081508315323,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,7,synthetic:42:59,ethyl_acetate,synthetic_audit_only,0.00015,0.7247010200111179,ethyl_acetate:0.15,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:7
3.0,1.5,1.883085780366426,0.6690927676757613,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,27,synthetic:42:60,ethyl_acetate,synthetic_audit_only,0.003,1.2139930126906646,ethyl_acetate:3,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:27
0.25,1.47,1.1084551506816465,0.3928816317683749,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,10,synthetic:42:61,ethyl_acetate,synthetic_audit_only,0.00025,0.7155735189132715,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:10
7.0,1.51,9.113787581299349,0.5227760792006398,models/feature engineering v1/data FE-V1/agg.data.xlsx,56,synthetic:42:62,hexane,synthetic_audit_only,0.007,8.59101150209871,hexane:7,3.9,0.377,342.039,17.89,True,True,,hexane:56
5.0,1.5,2.16517238906534,0.9253160059655035,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,30,synthetic:42:63,ethyl_acetate,synthetic_audit_only,0.005,1.2398563830998364,ethyl_acetate:5,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:30
0.005,1.55,0.5304596837107178,0.4401239102812543,models/feature engineering v1/data FE-V1/toluene+pdms.csv,20,synthetic:42:64,toluene,synthetic_audit_only,5e-06,0.0903357734294635,toluene:0.005,2.7,0.68,383.75,29.46,True,True,,toluene:20
5.0,1.44,6.403490746031439,0.5361745744052642,models/feature engineering v1/data FE-V1/agg.data.xlsx,54,synthetic:42:65,hexane,synthetic_audit_only,0.005,5.867316171626175,hexane:5,3.9,0.377,342.039,17.89,True,True,,hexane:54
3.0,1.48,2.027551863030025,0.6975898449171265,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,26,synthetic:42:66,ethyl_acetate,synthetic_audit_only,0.003,1.3299620181128986,ethyl_acetate:3,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:26
7.0,1.51,9.974880454449606,0.5250513092324044,models/feature engineering v1/data FE-V1/agg.data.xlsx,56,synthetic:42:67,hexane,synthetic_audit_only,0.007,9.449829145217201,hexane:7,3.9,0.377,342.039,17.89,True,True,,hexane:56
0.02,1.48,0.5958100405988254,0.482214225499077,models/feature engineering v1/data FE-V1/agg.data.xlsx,6,synthetic:42:68,hexane,synthetic_audit_only,2e-05,0.11359581509974838,hexane:0.02,3.9,0.377,342.039,17.89,True,True,,hexane:6
0.025,1.61,0.5901429017973459,0.4164500991627869,models/feature engineering v1/data FE-V1/toluene+pdms.csv,29,synthetic:42:69,toluene,synthetic_audit_only,2.5e-05,0.17369280263455888,toluene:0.025,2.7,0.68,383.75,29.46,True,True,,toluene:29
0.25,1.32,1.029888288839634,0.46580049062337786,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,19,synthetic:42:70,ethyl_acetate,synthetic_audit_only,0.00025,0.564087798216256,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:19
0.15,1.62,0.8866261944135828,0.36654603558792775,models/feature engineering v1/data FE-V1/agg.data.xlsx,31,synthetic:42:71,hexane,synthetic_audit_only,0.00015,0.5200801588256551,hexane:0.15,3.9,0.377,342.039,17.89,True,True,,hexane:31
0.025,1.61,0.5564401461810036,0.3851773194583547,models/feature engineering v1/data FE-V1/toluene+pdms.csv,29,synthetic:42:72,toluene,synthetic_audit_only,2.5e-05,0.17126282672264886,toluene:0.025,2.7,0.68,383.75,29.46,True,True,,toluene:29
0.09,1.44,0.8617388656294707,0.5560138020592668,models/feature engineering v1/data FE-V1/agg.data.xlsx,21,synthetic:42:73,hexane,synthetic_audit_only,8.999999999999999e-05,0.30572506357020396,hexane:0.09,3.9,0.377,342.039,17.89,True,True,,hexane:21
0.15,1.44,1.0704498850482151,0.3123583122008484,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,7,synthetic:42:74,ethyl_acetate,synthetic_audit_only,0.00015,0.7580915728473668,ethyl_acetate:0.15,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:7
0.025,1.61,0.5375589654046447,0.3594955680925028,models/feature engineering v1/data FE-V1/toluene+pdms.csv,30,synthetic:42:75,toluene,synthetic_audit_only,2.5e-05,0.17806339731214182,toluene:0.025,2.7,0.68,383.75,29.46,True,True,,toluene:30
5.0,1.44,6.872905038845278,0.5518039208424729,models/feature engineering v1/data FE-V1/agg.data.xlsx,54,synthetic:42:76,hexane,synthetic_audit_only,0.005,6.321101118002805,hexane:5,3.9,0.377,342.039,17.89,True,True,,hexane:54
1.0,1.48,1.9832157545035058,0.5960257992178237,models/feature engineering v1/data FE-V1/agg.data.xlsx,39,synthetic:42:77,hexane,synthetic_audit_only,0.001,1.3871899552856821,hexane:1,3.9,0.377,342.039,17.89,True,True,,hexane:39
0.1,1.61,0.8747330327007989,0.7136149429379364,models/feature engineering v1/data FE-V1/toluene+pdms.csv,35,synthetic:42:78,toluene,synthetic_audit_only,0.0001,0.16111808976286252,toluene:0.1,2.7,0.68,383.75,29.46,True,True,,toluene:35
0.15,1.43,1.0045145993887676,0.35104458084597673,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,6,synthetic:42:79,ethyl_acetate,synthetic_audit_only,0.00015,0.6534700185427909,ethyl_acetate:0.15,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:6
3.0,1.5,1.8211108004025256,0.708208129469127,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,28,synthetic:42:80,ethyl_acetate,synthetic_audit_only,0.003,1.1129026709333987,ethyl_acetate:3,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:28
0.005,1.56,0.5313386216752075,0.42333593676751863,models/feature engineering v1/data FE-V1/toluene+pdms.csv,21,synthetic:42:81,toluene,synthetic_audit_only,5e-06,0.10800268490768887,toluene:0.005,2.7,0.68,383.75,29.46,True,True,,toluene:21
0.15,1.62,0.8431699508880217,0.35274631797791,models/feature engineering v1/data FE-V1/agg.data.xlsx,29,synthetic:42:82,hexane,synthetic_audit_only,0.00015,0.4904236329101117,hexane:0.15,3.9,0.377,342.039,17.89,True,True,,hexane:29
1.0,1.32,1.1822691377268177,0.5915070525265571,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,22,synthetic:42:83,ethyl_acetate,synthetic_audit_only,0.001,0.5907620852002605,ethyl_acetate:1,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:22
40.0,1.46,0.868022872557057,0.7508308822894819,models/feature engineering v1/data FE-V1/toluene+pdms.csv,46,synthetic:42:84,toluene,synthetic_audit_only,0.04,0.11719199026757507,toluene:40,2.7,0.68,383.75,29.46,True,True,,toluene:46
0.25,1.47,1.1174449379494886,0.38189538601254924,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,8,synthetic:42:85,ethyl_acetate,synthetic_audit_only,0.00025,0.7355495519369393,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:8
0.02,1.49,0.5357278148936465,0.4526089478173217,models/feature engineering v1/data FE-V1/agg.data.xlsx,7,synthetic:42:86,hexane,synthetic_audit_only,2e-05,0.08311886707632483,hexane:0.02,3.9,0.377,342.039,17.89,True,True,,hexane:7
5.0,1.43,6.614466059595915,0.5413031438377807,models/feature engineering v1/data FE-V1/agg.data.xlsx,53,synthetic:42:87,hexane,synthetic_audit_only,0.005,6.073162915758134,hexane:5,3.9,0.377,342.039,17.89,True,True,,hexane:53
0.25,1.31,0.9526268401090816,0.34985972472138777,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,18,synthetic:42:88,ethyl_acetate,synthetic_audit_only,0.00025,0.6027671153876939,ethyl_acetate:0.25,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:18
1.0,1.32,1.2601057447002253,0.6043029597312294,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,22,synthetic:42:89,ethyl_acetate,synthetic_audit_only,0.001,0.6558027849689959,ethyl_acetate:1,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:22
0.005,1.56,0.4958514767673581,0.40724480377258104,models/feature engineering v1/data FE-V1/toluene+pdms.csv,21,synthetic:42:90,toluene,synthetic_audit_only,5e-06,0.08860667299477702,toluene:0.005,2.7,0.68,383.75,29.46,True,True,,toluene:21
1.0,1.33,1.23655436422747,0.5835952537167605,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,20,synthetic:42:91,ethyl_acetate,synthetic_audit_only,0.001,0.6529591105107094,ethyl_acetate:1,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:20
1.0,1.32,1.152255377175831,0.5831042100151969,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,22,synthetic:42:92,ethyl_acetate,synthetic_audit_only,0.001,0.5691511671606342,ethyl_acetate:1,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:22
7.0,1.5,9.468082325847385,0.5268489467162123,models/feature engineering v1/data FE-V1/agg.data.xlsx,57,synthetic:42:93,hexane,synthetic_audit_only,0.007,8.941233379131173,hexane:7,3.9,0.377,342.039,17.89,True,True,,hexane:57
2.0,1.5,1.6948421079766502,0.6128629220968701,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,25,synthetic:42:94,ethyl_acetate,synthetic_audit_only,0.002,1.08197918587978,ethyl_acetate:2,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:25
2.5,1.44,3.5362878233532697,0.5568675349855835,models/feature engineering v1/data FE-V1/agg.data.xlsx,49,synthetic:42:95,hexane,synthetic_audit_only,0.0025,2.9794202883676864,hexane:2.5,3.9,0.377,342.039,17.89,True,True,,hexane:49
1.0,1.49,2.053335165012637,0.6332395055818735,models/feature engineering v1/data FE-V1/agg.data.xlsx,40,synthetic:42:96,hexane,synthetic_audit_only,0.001,1.4200956594307637,hexane:1,3.9,0.377,342.039,17.89,True,True,,hexane:40
0.15,1.44,0.9938019897870343,0.29031053732207573,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,7,synthetic:42:97,ethyl_acetate,synthetic_audit_only,0.00015,0.7034914524649585,ethyl_acetate:0.15,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:7
40.0,1.46,0.8207116119998489,0.6996364949779292,models/feature engineering v1/data FE-V1/toluene+pdms.csv,46,synthetic:42:98,toluene,synthetic_audit_only,0.04,0.12107511702191963,toluene:40,2.7,0.68,383.75,29.46,True,True,,toluene:46
0.09,1.44,0.9155342318101205,0.6021544384255264,models/feature engineering v1/data FE-V1/agg.data.xlsx,22,synthetic:42:99,hexane,synthetic_audit_only,8.999999999999999e-05,0.31337979338459404,hexane:0.09,3.9,0.377,342.039,17.89,True,True,,hexane:22
1.0,1.32,1.3459834529958539,0.7044816721711643,models/feature engineering v1/data FE-V1/ethyl acetate+pdms.csv,22,synthetic:42:100,ethyl_acetate,synthetic_audit_only,0.001,0.6415017808246896,ethyl_acetate:1,0.7,0.423,350.372,24.0,True,True,,ethyl_acetate:22
0.15,1.62,0.8534825308392029,0.3579319631524108,models/feature engineering v1/data FE-V1/agg.data.xlsx,31,synthetic:42:101,hexane,synthetic_audit_only,0.00015,0.495550567686792,hexane:0.15,3.9,0.377,342.039,17.89,True,True,,hexane:31
